📺央视频道,#genre#
CCTV-1,http://221.229.212.86:14923
CCTV-1,http://221.229.212.86:14977
CCTV-1,http://60.0.84.130:9999/rtp/239.253.92.83:8012
CCTV-1,http://60.3.123.68:7000/rtp/239.253.92.83:8012
CCTV-1,https://cdn13.178.indevs.in/163189/bea1d91d91364062$订阅源
CCTV-1,http://154.219.125.138:5050/ysp?id=2024078201&pid=600001859&q=fhd$订阅源
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$订阅源
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8$订阅源
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8$订阅源
CCTV-1,http://111.56.90.5/000000000000/6000000001000029752/1.m3u8$IPV4•线路2
CCTV-1,http://111.56.90.54/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/1.m3u8?fmt=ts2hls$IPV4•线路63
CCTV-1,http://111.56.90.5/000000000000/5000000004000002226/1.m3u8$IPV4•线路1
CCTV-1,http://120.224.84.170:8085/hls/1/index.m3u8$订阅源
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源
CCTV-1,http://111.56.90.5/000000000000/5000000004000002226/index.m3u8$IPV4•线路29
CCTV-2,http://221.229.212.86:14993
CCTV-2,http://60.0.84.130:9999/rtp/239.253.92.190:6065
CCTV-2,http://60.3.123.68:7000/rtp/239.253.92.190:6065
CCTV-2,http://101.35.240.114:88/live.php?id=CCTV2$订阅源
CCTV-2,http://154.219.125.138:5050/ysp?id=2024075401&pid=600001800&q=fhd$订阅源
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8$订阅源
CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$订阅源
CCTV-2,http://111.56.90.5/000000000000/6000000001000014161/1.m3u8$IPV4•线路2
CCTV-2,http://111.56.90.5/000000000000/1000000001000023315/1.m3u8$IPV4•线路3
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$订阅源
CCTV-2,http://182.117.192.132:8888/hls/2/index.m3u8$订阅源
CCTV-2,http://222.85.50.27:6070/hls/2/index.m3u8$订阅源
